Hotel_Name,Hotel_Address,lat,lng,Reviewer_Score
Amsterdam Canal Residence,Weteringschans 251 Amsterdam City Center 1017 XJ Amsterdam Netherlands,52.3594783,4.895853,8.4089552238806
Amsterdam Marriott Hotel,Stadhouderskade 12 Oud West 1054 ES Amsterdam Netherlands,52.362514000000004,4.8800077,8.126478149100253
Andaz Amsterdam Prinsengracht A Hyatt Hotel,Prinsengracht 587 Amsterdam City Center 1067 HT Amsterdam Netherlands,52.3678368,4.8830788,9.281775700934576
Andaz London Liverpool Street,40 Liverpool Street City of London London EC2M 7QN United Kingdom,51.5172825,-0.0812451,9.018882466281315
Andreola Central Hotel,Via Domenico Scarlatti 24 Central Station 20124 Milan Italy,45.4836517,9.2078581,8.384499999999996
Antares Hotel Accademia,Viale Certosa 68 Certosa 20155 Milan Italy,45.4921089,9.1476806,8.53
Antares Hotel Rubens,Via Rubens 21 San Siro 20148 Milan Italy,45.4670579,9.1427822,8.471681415929202
Antica Locanda Dei Mercanti,Via San Tomaso 6 Milan City Center 20121 Milan Italy,45.467298,9.1846982,9.14634146341463
Aparthotel Adagio Vienna City,Uraniastra e 2 01 Innere Stadt 1010 Vienna Austria,48.2110845,16.3838405,8.159294871794865
Aparthotel Arai 4 Superior,Avinyo 30 Ciutat Vella 08002 Barcelona Spain,41.380751700000005,2.1772424999999997,9.439999999999996
Aparthotel Atenea Barcelona,Joan G ell 207 211 Les Corts 08028 Barcelona Spain,41.386268900000005,2.1291786,8.26460674157303
Aparthotel Mariano Cubi Barcelona,Mariano Cubi 62 64 Sarri St Gervasi 08006 Barcelona Spain,41.3982129,2.1494179,8.20879120879121
Apex City Of London Hotel,No 1 Seething Lane City of London London EC3N 4AX United Kingdom,51.5104624,-0.0795502,9.11868446139183
Apex London Wall Hotel,7 9 Copthall Avenue City of London London EC2R 7NJ United Kingdom,51.5160484,-0.0880181,9.242562929061766
Apex Temple Court Hotel,1 2 Serjeant s Inn Fleet Street City of London London EC4Y 1LL United Kingdom,51.5137335,-0.10875119999999999,9.298842815814897
Apollo Hotel Amsterdam,Apollolaan 2 Oud Zuid 1077 BA Amsterdam Netherlands,52.3486098,4.8844292000000005,8.29028642590289
Apollofirst Boutique Hotel,Apollolaan 123 125 Oud Zuid 1077 AP Amsterdam Netherlands,52.350396,4.8756404,8.715053763440856
Appartement Hotel an der Riemergasse,Riemergasse 8 01 Innere Stadt 1010 Vienna Austria,48.2071576,16.3765913,9.282222222222217
Arbor City,12 Osborn Street Aldgate East Tower Hamlets London E1 6TE United Kingdom,51.5166755,-0.0697897,8.88719590268888
Arbor Hyde Park,36 37 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,51.512648799999994,-0.1803795,8.501573849878955
Arenas Atiram Hotels,Capitan Arenas 20 Les Corts 08034 Barcelona Spain,41.3904305,2.1262314,7.453333333333337
Arion Cityhotel Vienna und Appartements,Hintschiggasse 1 10 Favoriten 1100 Vienna Austria,48.15853320000001,16.345111499999998,8.078879310344828
Arioso,7 rue d Argenson 8th arr 75008 Paris France,48.8746066,2.3167195,8.32105263157895
Armani Hotel Milano,Via Manzoni 31 Milan City Center 20121 Milan Italy,45.470532,9.193019999999999,9.130769230769227
Art Hotel Navigli,Via Angelo Carlo Fumagalli 4 Navigli 20143 Milan Italy,45.4501306,9.1696481,8.774863387978144
Arthotel ANA Boutique Six,Webgasse 23 06 Mariahilf 1060 Vienna Austria,48.194190500000005,16.3462578,8.048717948717949
Arthotel ANA Prime,Sch nbrunner Stra e 41 05 Margareten 1050 Vienna Austria,48.19255820000001,16.3576071,8.537785016286639
Arthotel ANA Westbahn,Pelzgasse 1 15 Rudolfsheim F nfhaus 1150 Vienna Austria,48.197951399999994,16.336318,8.441791044776123
Artus Hotel by MH,34 Rue de Buci 6th arr 75006 Paris France,48.8535639,2.3360168999999997,9.137931034482758
Ashburn Hotel,111 Cromwell Road Kensington and Chelsea London SW7 4DP United Kingdom,51.49455220000001,-0.1861213,8.656066945606684
Atahotel Contessa Jolanda,Via Murat 21 Niguarda 20159 Milan Italy,45.4984161,9.1904375,7.398319327731091
Atahotel Linea Uno,Viale Monza 139 Distretto Viale Monza 20125 Milan Italy,45.50054,9.220808900000002,7.961344537815126
Atala Champs Elys es,10 rue Chateaubriand 8th arr 75008 Paris France,48.8735418,2.3024419999999997,7.913793103448275
Atlantis Hotel Vienna,Wurzbachgasse 21 15 Rudolfsheim F nfhaus 1150 Vienna Austria,48.2037451,16.3356767,7.759999999999996
Attica 21 Barcelona Mar,Proven als 10 Sant Mart 08019 Barcelona Spain,41.405232399999996,2.2117289,8.273214285714284
Au Manoir Saint Germain,153 Boulevard Saint Germain 6th arr 75006 Paris France,48.853688,2.3322667,8.711445783132527
Austria Trend Hotel Ananas Wien,Sonnenhofgasse 8 10 05 Margareten 1050 Vienna Austria,48.191540100000005,16.3546263,8.086263736263737
Austria Trend Hotel Anatol Wien,Webgasse 26 06 Mariahilf 1060 Vienna Austria,48.1945774,16.346356,8.880666666666665
Austria Trend Hotel Astoria Wien,K rntner Stra e 32 34 01 Innere Stadt 1010 Vienna Austria,48.204465500000005,16.3702399,8.463829787234044
Austria Trend Hotel Bosei Wien,Gutheil Schoder Gasse 7B 10 Favoriten 1100 Vienna Austria,48.1629737,16.340402400000002,8.104859335038366
Austria Trend Hotel Doppio Wien,Rennweg 99 Rinnboeckstrasse 1 03 Landstra e 1030 Vienna Austria,48.185431200000004,16.404884,8.601474926253688
Austria Trend Hotel Europa Wien,K rntnerstra e 18 Eingang Neuer Markt 3 01 Innere Stadt 1010 Vienna Austria,48.206210299999995,16.3710387,8.6586011342155
Austria Trend Hotel Lassalle Wien,Engerthstra e 173 175 02 Leopoldstadt 1020 Vienna Austria,48.2273013,16.4001791,8.020945945945943
Austria Trend Hotel Park Royal Palace Vienna,Schlossallee 8 14 Penzing 1140 Vienna Austria,48.191339,16.316587300000002,8.649090909090898
Austria Trend Hotel Rathauspark Wien,Rathausstra e 17 01 Innere Stadt 1010 Vienna Austria,48.2133054,16.3567884,8.48939393939394
Austria Trend Hotel Savoyen Vienna,Rennweg 16 03 Landstra e 1030 Vienna Austria,48.19504439999999,16.3844751,8.928611500701276
Austria Trend Parkhotel Sch nbrunn Wien,Hietzinger Hauptstra e 10 14 13 Hietzing 1130 Vienna Austria,48.1866506,16.3023375,8.587412587412583
Auteuil Tour Eiffel,8 10 Rue F licien David 16th arr 75016 Paris France,48.8506499,2.2750873,7.1051020408163215
Avenida Palace,Gran Via 605 Eixample 08007 Barcelona Spain,41.3891168,2.1671986,8.390582403965329
Avo Hotel,82 Dalston Lane Hackney London E8 3AH United Kingdom,51.546062799999994,-0.0700817,8.148795180722887
Axel Hotel Barcelona Urban Spa Adults Only,Aribau 33 Eixample 08011 Barcelona Spain,41.38734779999999,2.1603987,8.07558139534884
Ayre Hotel Caspe,Caspe 103 Eixample 08013 Barcelona Spain,41.3961021,2.1794688,8.61193277310926
Ayre Hotel Gran V a,Gran V a de les Corts Catalanes 322 Sants Montju c 08004 Barcelona Spain,41.373246200000004,2.1474351,8.77691342534506
Ayre Hotel Rosell n,Rossell 390 Eixample 08025 Barcelona Spain,41.404738200000004,2.1727127,8.945664739884402
B Montmartre,6 Rue Lecluse 17th arr 75017 Paris France,48.883631,2.3257642999999995,9.43666666666667
BEST WESTERN Maitrise Hotel Maida Vale,53 59 Kilburn High Road Maida Vale London Camden London NW6 5SB United Kingdom,51.5366053,-0.19198320000000002,6.884191176470604
BEST WESTERN PLUS Amedia Wien,Landstra er Hauptstra e 155 03 Landstra e 1030 Vienna Austria,48.192379100000004,16.399451199999998,8.350119331742242
Baglioni Hotel Carlton The Leading Hotels of the World,Via Senato 5 Milan City Center 20121 Milan Italy,45.4691663,9.1984454,8.728758169934634
Baglioni Hotel London The Leading Hotels of the World,60 Hyde Park gate Kensington and Chelsea London SW7 5BB United Kingdom,51.5017224,-0.1846243,9.003508771929829
Balmoral Champs Elys es,6 rue du General Lanrezac 17th arr 75017 Paris France,48.8759855,2.2939380000000003,8.908771929824562
Banke H tel,20 Rue La Fayette 9th arr 75009 Paris France,48.8735736,2.3359650000000003,8.454716981132073
