Reviewer_Nationality,lat,lng,Reviewer_Score
 ,41.328375799999996,2.1129637999999997,6.7
 ,41.3727844,2.1721133999999997,7.75
 ,41.373246200000004,2.1474351,7.1
 ,41.3780983,2.1762005,9.2
 ,41.379012599999996,2.1696339,7.75
 ,41.379205299999995,2.1427989,10.0
 ,41.37955720000001,2.1425457000000003,5.4
 ,41.3798964,2.1412432999999997,9.2
 ,41.379920899999995,2.1728181,10.0
 ,41.380751700000005,2.1772424999999997,10.0
 ,41.380939,2.1796095,10.0
 ,41.3810421,2.1814294,10.0
 ,41.3812223,2.1739622000000005,5.4
 ,41.3815625,2.1838458,9.6
 ,41.3822909,2.1807447,9.6
 ,41.383011700000004,2.1700699,5.8
 ,41.3831641,2.1604736,10.0
 ,41.383354100000005,2.1794038,8.8
 ,41.38346729999999,2.1712016,8.466666666666667
 ,41.3841429,2.1616896,7.9
 ,41.3842838,2.1707092,10.0
 ,41.3843222,2.1712892999999998,7.1
 ,41.384663700000004,2.1740902,9.2
 ,41.3856387,2.1668274,7.1
 ,41.386018299999996,2.19473,8.8
 ,41.3865289,2.1682919,7.1
 ,41.3891168,2.1671986,7.1
 ,41.389523700000005,2.1490307,6.7
 ,41.3897945,2.1660575,7.5
 ,41.390981599999996,2.1714938,7.9
 ,41.391393,2.1668467000000002,9.2
 ,41.392018,2.157066,8.3
 ,41.3922919,2.1622256,8.3
 ,41.392344,2.1729157000000003,6.05
 ,41.392936600000006,2.1653954,9.2
 ,41.3935497,2.1627098,10.0
 ,41.393559100000004,2.1993915,7.3
 ,41.3941338,2.1489569,10.0
 ,41.3946775,2.1626380000000003,8.233333333333334
 ,41.3961021,2.1794688,9.2
 ,41.3962658,2.1662152999999997,7.9
 ,41.398932200000004,2.2024182999999997,5.0
 ,41.3991773,2.1656134,9.6
 ,41.4014399,2.2100744999999997,4.6
 ,41.4017465,2.1477365,9.2
 ,41.402362100000005,2.2119049,7.9
 ,41.4109715,2.2186535,9.2
 ,41.4114188,2.2117560000000003,9.6
 ,41.4226648,2.1464261000000002,10.0
 ,45.4408963,9.1728003,8.3
 ,45.4436132,9.1161094,9.6
 ,45.4501306,9.1696481,8.8
 ,45.451873,9.20548,8.8
 ,45.4529643,9.196221699999999,5.4
 ,45.4572218,9.1937008,4.6
 ,45.4580781,9.1924205,6.7
 ,45.4606597,9.1810947,10.0
 ,45.461177,9.191047,8.8
 ,45.4654912,9.1889612,9.2
 ,45.465957,9.192297,7.5
 ,45.46947720000001,9.190932499999999,9.6
